Ticker,Company,Currency,Exchange,industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation,twitter_esg_sentiment,Sentiment Score,dominant_topic,topic_esg_impact,Date,avg_deforestation,avg_air_pollution,avg_water_quality_B3,avg_water_quality_B4,avg_water_quality_B5,environmental_deviation_score,avg_deforestation_normalized,avg_air_pollution_normalized,avg_water_quality_B3_normalized,avg_water_quality_B4_normalized,avg_water_quality_B5_normalized
dfs,Discover Financial Services,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,BB,Medium,BB,Medium,BB,Medium,335.0,321.0,313.0,969.0,BBB,High,323.0,Medium Risk,0.2601156069364161,0.3175542406311637,0.595,0.3942307692307693,909.3333333333334,59.66666666666663,0.6042666666666666,0.1779,,,,,,,,,,,,,,
duk,Duke Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,AA,Excellent,BB,Medium,BB,Medium,604.0,362.0,328.0,1294.0,A,High,431.3333333333333,Low Risk,0.7784200385356455,0.398422090729783,0.6325000000000001,0.7414529914529916,1190.6333333333334,103.36666666666656,,,,,,,,,,,,,,,,
dre,Duke Realty Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,BB,Medium,540.0,313.0,300.0,1153.0,BBB,High,384.3333333333333,Low Risk,0.6551059730250481,0.3017751479289941,0.5625,0.5908119658119658,995.9444444444443,157.05555555555554,0.2401749999999999,,,,,,,,,,,,,,,
cf,CF Industries Holdings Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,A,High,BB,Medium,BB,Medium,525.0,307.0,310.0,1142.0,BBB,High,380.6666666666667,Low Risk,0.6262042389210019,0.2899408284023668,0.5875,0.5790598290598291,1058.8947368421052,83.1052631578948,,,,,,,,,,,,,,,,
dvn,Devon Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,A,High,BB,Medium,BB,Medium,570.0,301.0,300.0,1171.0,BBB,High,390.3333333333333,Low Risk,0.7129094412331407,0.2781065088757397,0.5625,0.6100427350427352,1142.2631578947369,28.73684210526312,0.6015714285714286,,,,,,,,,,,,,,,
ecl,Ecolab Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,A,High,BB,Medium,BB,Medium,547.0,373.0,325.0,1245.0,A,High,415.0,Low Risk,0.6685934489402698,0.4201183431952662,0.625,0.6891025641025642,1058.8947368421052,186.1052631578948,,,,,,,,,,,,,,,,
hd,Home Depot Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,B,Medium,BB,Medium,B,Medium,230.0,317.0,205.0,752.0,BB,Medium,250.66666666666663,High Risk,0.0578034682080924,0.309664694280079,0.3249999999999999,0.1623931623931623,918.5769230769232,-166.5769230769231,,,,,,,,,,,,,,,,
dte,DTE Energy Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,B,Medium,592.0,313.0,210.0,1115.0,BBB,High,371.6666666666667,Medium Risk,0.7552986512524085,0.3017751479289941,0.3375,0.5502136752136754,1190.6333333333334,-75.63333333333344,,,,,,,,,,,,,,,,
eix,Edison International,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,AA,Excellent,A,High,BB,Medium,700.0,513.0,315.0,1528.0,A,High,509.3333333333333,Low Risk,0.9633911368015416,0.6962524654832347,0.6,0.9914529914529916,1190.6333333333334,337.36666666666656,,,,,,,,,,,,,,,,
glw,Corning Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium,200.0,High Risk,0.0,0.0788954635108481,0.3125,0.0,933.0,-333.0,,,,,2019-01-09,,-2.4116277838692253e-05,,,,,,0.0,,,
glw,Corning Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium,200.0,High Risk,0.0,0.0788954635108481,0.3125,0.0,933.0,-333.0,,,,,2022-03-06,22.42469594884984,,,,,,0.0,,,,
dva,DaVita Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,B,Medium,BB,Medium,BB,Medium,260.0,332.0,300.0,892.0,BB,Medium,297.3333333333333,Medium Risk,0.1156069364161849,0.3392504930966469,0.5625,0.3119658119658119,938.7647058823528,-46.76470588235293,0.54135,,,,,,,,,,,,,,,
wdc,Western Digital Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,545.0,339.0,260.0,1144.0,BBB,High,381.3333333333333,Low Risk,0.6647398843930636,0.3530571992110454,0.4625,0.5811965811965812,1031.3174603174602,112.68253968253975,0.25,,,,,,,,,,,,,,,
gs,Goldman Sachs Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,A,High,BB,Medium,BB,Medium,525.0,305.0,305.0,1135.0,BBB,High,378.3333333333333,Low Risk,0.6262042389210019,0.2859960552268245,0.5750000000000001,0.5715811965811967,909.3333333333334,225.66666666666663,0.6042666666666666,0.1779,,,,,,,,,,,,,,
