Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,BB,Medium,B,Medium,260.0,348.0,260.0,868.0,BB,Medium,289.3333333333333,Medium Risk,0.11560693641618497,0.37080867850098626,0.4625,0.2863247863247864,993.125,-125.125
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,555.0,304.0,310.0,1169.0,BBB,High,389.6666666666667,Low Risk,0.6840077071290944,0.2840236686390533,0.5875,0.6079059829059831,1031.3174603174602,137.68253968253975
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500.0,300.0,200.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.5780346820809248,0.27613412228796846,0.3125,0.4273504273504275,1031.3174603174602,-31.317460317460245
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,210.0,224.0,305.0,739.0,B,Medium,246.33333333333334,High Risk,0.019267822736030837,0.12623274161735704,0.5750000000000001,0.14850427350427353,866.9107142857143,-127.91071428571433
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,B,Medium,BB,Medium,515.0,269.0,328.0,1112.0,BBB,High,370.6666666666667,Medium Risk,0.6069364161849711,0.2149901380670612,0.6325000000000001,0.5470085470085472,935.2608695652174,176.73913043478262
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,B,Medium,262.0,321.0,235.0,818.0,BB,Medium,272.6666666666667,High Risk,0.11946050096339117,0.3175542406311637,0.4,0.23290598290598297,866.9107142857143,-48.910714285714334
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,BB,Medium,290.0,262.0,300.0,852.0,BB,Medium,284.0,Medium Risk,0.17341040462427743,0.2011834319526627,0.5625,0.2692307692307693,1030.5833333333333,-178.58333333333326
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Building,B,Medium,B,Medium,BB,Medium,238.0,237.0,325.0,800.0,BB,Medium,266.6666666666667,High Risk,0.07321772639691715,0.15187376725838264,0.625,0.2136752136752137,1074.2,-274.20000000000005
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,A,High,B,Medium,B,Medium,520.0,207.0,210.0,937.0,BBB,High,312.3333333333333,Medium Risk,0.6165703275529866,0.09270216962524658,0.3375,0.360042735042735,995.9444444444445,-58.94444444444446
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,933.0,167.0
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,1190.6333333333334,-90.63333333333344
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,200.0,262.0,315.0,777.0,BB,Medium,259.0,High Risk,0.0,0.2011834319526627,0.6,0.1891025641025641,938.7647058823529,-161.76470588235293
aese,Allied Esports Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium,200.0,High Risk,0.0,0.07889546351084814,0.3125,0.0,918.8636363636364,-318.8636363636364
aeye,AudioEye Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,235.0,301.0,308.0,844.0,BB,Medium,281.3333333333333,High Risk,0.0674373795761079,0.2781065088757397,0.5825,0.26068376068376076,1031.3174603174602,-187.31746031746025
aeri,Aerie Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,A,High,B,Medium,BB,Medium,500.0,264.0,310.0,1074.0,BBB,High,358.0,Medium Risk,0.5780346820809248,0.20512820512820512,0.5875,0.5064102564102565,903.6666666666666,170.33333333333337
aey,ADDvantage Technologies Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,BB,Medium,235.0,234.0,300.0,769.0,BB,Medium,256.3333333333333,High Risk,0.0674373795761079,0.14595660749506906,0.5625,0.18055555555555558,933.0,-164.0
afaq,AF Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium,200.0,High Risk,0.0,0.07889546351084814,0.3125,0.0,709.3076923076923,-109.30769230769226
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,368.0,304.0,310.0,982.0,BBB,High,327.3333333333333,Medium Risk,0.3236994219653179,0.2840236686390533,0.5875,0.4081196581196581,866.9107142857143,115.08928571428567
afcg,AFC Gamma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,255.0,204.0,226.0,685.0,B,Medium,228.33333333333334,High Risk,0.10597302504816952,0.08678500986193294,0.37750000000000006,0.09081196581196582,995.9444444444445,-310.94444444444446
afbi,Affinity Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200.0,207.0,200.0,607.0,B,Medium,202.33333333333334,High Risk,0.0,0.09270216962524658,0.3125,0.007478632478632452,898.3103448275862,-291.31034482758616
afrm,Affirm Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,225.0,335.0,335.0,895.0,BB,Medium,298.3333333333333,Medium Risk,0.048169556840077066,0.3451676528599606,0.65,0.31517094017094016,1031.3174603174602,-136.31746031746025
afib,Acutus Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,205.0,211.0,235.0,651.0,B,Medium,217.0,High Risk,0.009633911368015391,0.10059171597633138,0.4,0.054487179487179516,938.7647058823529,-287.7647058823529
agen,Agenus Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,290.0,245.0,300.0,835.0,BB,Medium,278.3333333333333,High Risk,0.17341040462427743,0.1676528599605523,0.5625,0.25106837606837606,866.9107142857143,-31.910714285714334
afya,Afya Ltd,BRL,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,290.0,203.0,205.0,698.0,B,Medium,232.66666666666666,High Risk,0.17341040462427743,0.08481262327416178,0.32499999999999996,0.10470085470085477,739.3333333333334,-41.33333333333337
agfs,AgroFresh Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,A,High,BB,Medium,B,Medium,500.0,301.0,275.0,1076.0,BBB,High,358.6666666666667,Medium Risk,0.5780346820809248,0.2781065088757397,0.5,0.5085470085470086,1058.8947368421052,17.105263157894797
agfy,Agrify Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,540.0,361.0,305.0,1206.0,A,High,402.0,Low Risk,0.6551059730250481,0.3964497041420119,0.5750000000000001,0.6474358974358975,1048.047619047619,157.95238095238096
agil,AgileThought Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,BB,Medium,340.0,299.0,305.0,944.0,BBB,High,314.6666666666667,Medium Risk,0.26974951830443156,0.27416173570019725,0.5750000000000001,0.36752136752136766,1031.3174603174602,-87.31746031746025
agmh,AGM Group Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,205.0,204.0,210.0,619.0,B,Medium,206.33333333333334,High Risk,0.009633911368015391,0.08678500986193294,0.3375,0.020299145299145338,909.3333333333334,-290.33333333333337
agio,Agios Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,520.0,303.0,325.0,1148.0,BBB,High,382.6666666666667,Low Risk,0.6165703275529866,0.2820512820512821,0.625,0.5854700854700855,866.9107142857143,281.08928571428567
